# ESPECTRO IDEAL (MCNP, sin GEB)
# NPS = 1.000e+08   Cs-137 @ 661.66 keV
# Detector NaI(Tl) 3"x3", d = 1.0 cm
# Columna 1: energia depositada (MeV)
# Columna 2: cuentas por foton emitido (F8 normalizado)
# 4097 bins
# E_MeV            counts_per_history
  0.000000e+00    0.000000e+00
  1.000000e-05    1.473200e-01
  3.763000e-04    3.216000e-05
  7.426000e-04    4.645000e-05
  1.108900e-03    5.236000e-05
  1.475200e-03    5.513000e-05
  1.841500e-03    5.739000e-05
  2.207800e-03    5.979000e-05
  2.574100e-03    6.052000e-05
  2.940400e-03    6.263000e-05
  3.306700e-03    6.213000e-05
  3.673000e-03    6.377000e-05
  4.039300e-03    6.454000e-05
  4.405600e-03    6.647000e-05
  4.771900e-03    6.603000e-05
  5.138200e-03    6.629000e-05
  5.504500e-03    6.780000e-05
  5.870800e-03    6.707000e-05
  6.237100e-03    6.611000e-05
  6.603400e-03    7.051000e-05
  6.969700e-03    7.000000e-05
  7.336000e-03    6.764000e-05
  7.702300e-03    6.824000e-05
  8.068600e-03    6.848000e-05
  8.434900e-03    6.953000e-05
  8.801200e-03    6.999000e-05
  9.167400e-03    6.960000e-05
  9.533700e-03    7.060000e-05
  9.900000e-03    7.125000e-05
  1.026600e-02    7.082000e-05
  1.063300e-02    6.948000e-05
  1.099900e-02    7.060000e-05
  1.136500e-02    6.981000e-05
  1.173200e-02    6.953000e-05
  1.209800e-02    7.009000e-05
  1.246400e-02    7.005000e-05
  1.283000e-02    6.888000e-05
  1.319700e-02    7.219000e-05
  1.356300e-02    6.988000e-05
  1.392900e-02    7.094000e-05
  1.429600e-02    7.152000e-05
  1.466200e-02    7.142000e-05
  1.502800e-02    7.120000e-05
  1.539500e-02    7.198000e-05
  1.576100e-02    7.167000e-05
  1.612700e-02    7.221000e-05
  1.649300e-02    7.152000e-05
  1.686000e-02    7.180000e-05
  1.722600e-02    7.133000e-05
  1.759200e-02    7.133000e-05
  1.795900e-02    7.160000e-05
  1.832500e-02    7.145000e-05
  1.869100e-02    7.081000e-05
  1.905700e-02    7.108000e-05
  1.942400e-02    7.178000e-05
  1.979000e-02    7.346000e-05
  2.015600e-02    7.032000e-05
  2.052300e-02    7.248000e-05
  2.088900e-02    7.262000e-05
  2.125500e-02    7.245000e-05
  2.162200e-02    7.018000e-05
  2.198800e-02    7.070000e-05
  2.235400e-02    7.234000e-05
  2.272000e-02    6.920000e-05
  2.308700e-02    7.163000e-05
  2.345300e-02    7.265000e-05
  2.381900e-02    7.253000e-05
  2.418600e-02    7.215000e-05
  2.455200e-02    7.190000e-05
  2.491800e-02    7.132000e-05
  2.528500e-02    7.179000e-05
  2.565100e-02    7.223000e-05
  2.601700e-02    7.080000e-05
  2.638300e-02    7.094000e-05
  2.675000e-02    7.085000e-05
  2.711600e-02    7.156000e-05
  2.748200e-02    7.146000e-05
  2.784900e-02    7.195000e-05
  2.821500e-02    7.173000e-05
  2.858100e-02    7.240000e-05
  2.894800e-02    7.331000e-05
  2.931400e-02    7.256000e-05
  2.968000e-02    7.335000e-05
  3.004600e-02    7.096000e-05
  3.041300e-02    7.334000e-05
  3.077900e-02    1.020300e-04
  3.114500e-02    1.259200e-04
  3.151200e-02    7.239000e-05
  3.187800e-02    7.279000e-05
  3.224400e-02    7.129000e-05
  3.261100e-02    7.246000e-05
  3.297700e-02    7.205000e-05
  3.334300e-02    7.141000e-05
  3.370900e-02    7.099000e-05
  3.407600e-02    7.131000e-05
  3.444200e-02    7.172000e-05
  3.480800e-02    7.251000e-05
  3.517500e-02    8.533000e-05
  3.554100e-02    7.194000e-05
  3.590700e-02    7.577000e-05
  3.627300e-02    7.113000e-05
  3.664000e-02    7.189000e-05
  3.700600e-02    7.407000e-05
  3.737200e-02    7.238000e-05
  3.773900e-02    7.461000e-05
  3.810500e-02    7.334000e-05
  3.847100e-02    7.256000e-05
  3.883800e-02    7.326000e-05
  3.920400e-02    7.282000e-05
  3.957000e-02    7.392000e-05
  3.993600e-02    7.113000e-05
  4.030300e-02    7.290000e-05
  4.066900e-02    7.306000e-05
  4.103500e-02    7.693000e-05
  4.140200e-02    7.402000e-05
  4.176800e-02    7.304000e-05
  4.213400e-02    7.225000e-05
  4.250100e-02    7.475000e-05
  4.286700e-02    7.202000e-05
  4.323300e-02    7.945000e-05
  4.359900e-02    7.221000e-05
  4.396600e-02    7.207000e-05
  4.433200e-02    7.161000e-05
  4.469800e-02    8.444000e-05
  4.506500e-02    7.868000e-05
  4.543100e-02    7.217000e-05
  4.579700e-02    7.289000e-05
  4.616400e-02    7.082000e-05
  4.653000e-02    7.208000e-05
  4.689600e-02    9.236000e-05
  4.726200e-02    8.215000e-05
  4.762900e-02    7.025000e-05
  4.799500e-02    7.183000e-05
  4.836100e-02    7.389000e-05
  4.872800e-02    7.260000e-05
  4.909400e-02    7.151000e-05
  4.946000e-02    7.309000e-05
  4.982700e-02    7.213000e-05
  5.019300e-02    7.150000e-05
  5.055900e-02    7.334000e-05
  5.092500e-02    7.194000e-05
  5.129200e-02    7.092000e-05
  5.165800e-02    7.317000e-05
  5.202400e-02    7.067000e-05
  5.239100e-02    7.263000e-05
  5.275700e-02    7.217000e-05
  5.312300e-02    7.430000e-05
  5.348900e-02    7.236000e-05
  5.385600e-02    7.234000e-05
  5.422200e-02    7.025000e-05
  5.458800e-02    7.176000e-05
  5.495500e-02    7.290000e-05
  5.532100e-02    7.220000e-05
  5.568700e-02    7.204000e-05
  5.605400e-02    7.138000e-05
  5.642000e-02    7.217000e-05
  5.678600e-02    8.502000e-05
  5.715200e-02    7.311000e-05
  5.751900e-02    7.104000e-05
  5.788500e-02    7.139000e-05
  5.825100e-02    7.111000e-05
  5.861800e-02    7.140000e-05
  5.898400e-02    7.017000e-05
  5.935000e-02    7.554000e-05
  5.971700e-02    7.279000e-05
  6.008300e-02    7.120000e-05
  6.044900e-02    7.232000e-05
  6.081500e-02    7.363000e-05
  6.118200e-02    7.080000e-05
  6.154800e-02    7.282000e-05
  6.191400e-02    7.093000e-05
  6.228100e-02    7.169000e-05
  6.264700e-02    7.032000e-05
  6.301300e-02    7.010000e-05
  6.338000e-02    7.326000e-05
  6.374600e-02    7.060000e-05
  6.411200e-02    7.106000e-05
  6.447800e-02    7.273000e-05
  6.484500e-02    7.388000e-05
  6.521100e-02    7.265000e-05
  6.557700e-02    7.259000e-05
  6.594400e-02    7.252000e-05
  6.631000e-02    7.239000e-05
  6.667600e-02    7.230000e-05
  6.704300e-02    7.243000e-05
  6.740900e-02    7.140000e-05
  6.777500e-02    7.298000e-05
  6.814100e-02    7.222000e-05
  6.850800e-02    7.145000e-05
  6.887400e-02    7.069000e-05
  6.924000e-02    7.221000e-05
  6.960700e-02    7.197000e-05
  6.997300e-02    7.314000e-05
  7.033900e-02    7.230000e-05
  7.070500e-02    7.316000e-05
  7.107200e-02    7.358000e-05
  7.143800e-02    7.230000e-05
  7.180400e-02    7.332000e-05
  7.217100e-02    7.394000e-05
  7.253700e-02    7.500000e-05
  7.290300e-02    7.312000e-05
  7.327000e-02    2.817400e-04
  7.363600e-02    7.431000e-05
  7.400200e-02    7.172000e-05
  7.436800e-02    7.373000e-05
  7.473500e-02    7.116000e-05
  7.510100e-02    7.181000e-05
  7.546700e-02    4.516000e-04
  7.583400e-02    7.085000e-05
  7.620000e-02    7.148000e-05
  7.656600e-02    7.100000e-05
  7.693300e-02    7.167000e-05
  7.729900e-02    7.230000e-05
  7.766500e-02    7.110000e-05
  7.803100e-02    7.195000e-05
  7.839800e-02    7.045000e-05
  7.876400e-02    7.138000e-05
  7.913000e-02    6.967000e-05
  7.949700e-02    7.118000e-05
  7.986300e-02    7.139000e-05
  8.022900e-02    7.062000e-05
  8.059600e-02    7.106000e-05
  8.096200e-02    7.028000e-05
  8.132800e-02    7.143000e-05
  8.169400e-02    7.173000e-05
  8.206100e-02    7.104000e-05
  8.242700e-02    7.102000e-05
  8.279300e-02    7.086000e-05
  8.316000e-02    6.944000e-05
  8.352600e-02    7.227000e-05
  8.389200e-02    7.163000e-05
  8.425900e-02    7.041000e-05
  8.462500e-02    7.041000e-05
  8.499100e-02    7.026000e-05
  8.535700e-02    2.476900e-04
  8.572400e-02    7.063000e-05
  8.609000e-02    7.160000e-05
  8.645600e-02    6.970000e-05
  8.682300e-02    7.088000e-05
  8.718900e-02    7.077000e-05
  8.755500e-02    6.995000e-05
  8.792200e-02    1.146900e-04
  8.828800e-02    7.024000e-05
  8.865400e-02    7.074000e-05
  8.902000e-02    7.002000e-05
  8.938700e-02    7.068000e-05
  8.975300e-02    7.050000e-05
  9.011900e-02    6.911000e-05
  9.048600e-02    6.947000e-05
  9.085200e-02    7.043000e-05
  9.121800e-02    6.903000e-05
  9.158400e-02    7.086000e-05
  9.195100e-02    6.976000e-05
  9.231700e-02    7.047000e-05
  9.268300e-02    7.001000e-05
  9.305000e-02    7.002000e-05
  9.341600e-02    6.970000e-05
  9.378200e-02    6.929000e-05
  9.414900e-02    6.866000e-05
  9.451500e-02    7.053000e-05
  9.488100e-02    6.924000e-05
  9.524700e-02    6.968000e-05
  9.561400e-02    6.961000e-05
  9.598000e-02    6.899000e-05
  9.634600e-02    7.012000e-05
  9.671300e-02    7.000000e-05
  9.707900e-02    7.027000e-05
  9.744500e-02    6.807000e-05
  9.781200e-02    6.839000e-05
  9.817800e-02    6.898000e-05
  9.854400e-02    7.027000e-05
  9.891000e-02    6.855000e-05
  9.927700e-02    6.963000e-05
  9.964300e-02    7.065000e-05
  1.000100e-01    6.867000e-05
  1.003800e-01    6.912000e-05
  1.007400e-01    6.888000e-05
  1.011100e-01    6.861000e-05
  1.014700e-01    6.951000e-05
  1.018400e-01    6.804000e-05
  1.022100e-01    6.746000e-05
  1.025700e-01    6.740000e-05
  1.029400e-01    6.827000e-05
  1.033100e-01    6.920000e-05
  1.036700e-01    6.885000e-05
  1.040400e-01    6.925000e-05
  1.044000e-01    6.698000e-05
  1.047700e-01    6.848000e-05
  1.051400e-01    6.910000e-05
  1.055000e-01    6.762000e-05
  1.058700e-01    6.914000e-05
  1.062400e-01    6.732000e-05
  1.066000e-01    6.758000e-05
  1.069700e-01    6.929000e-05
  1.073400e-01    6.881000e-05
  1.077000e-01    6.867000e-05
  1.080700e-01    6.877000e-05
  1.084300e-01    6.887000e-05
  1.088000e-01    6.734000e-05
  1.091700e-01    6.774000e-05
  1.095300e-01    6.778000e-05
  1.099000e-01    6.925000e-05
  1.102700e-01    6.790000e-05
  1.106300e-01    6.885000e-05
  1.110000e-01    6.825000e-05
  1.113600e-01    6.961000e-05
  1.117300e-01    7.050000e-05
  1.121000e-01    6.919000e-05
  1.124600e-01    6.974000e-05
  1.128300e-01    6.848000e-05
  1.132000e-01    7.035000e-05
  1.135600e-01    6.786000e-05
  1.139300e-01    6.850000e-05
  1.142900e-01    6.817000e-05
  1.146600e-01    6.864000e-05
  1.150300e-01    6.734000e-05
  1.153900e-01    6.916000e-05
  1.157600e-01    6.909000e-05
  1.161300e-01    7.015000e-05
  1.164900e-01    6.851000e-05
  1.168600e-01    6.941000e-05
  1.172300e-01    6.794000e-05
  1.175900e-01    6.994000e-05
  1.179600e-01    6.772000e-05
  1.183200e-01    7.075000e-05
  1.186900e-01    6.737000e-05
  1.190600e-01    6.741000e-05
  1.194200e-01    6.876000e-05
  1.197900e-01    6.888000e-05
  1.201600e-01    6.944000e-05
  1.205200e-01    6.903000e-05
  1.208900e-01    6.873000e-05
  1.212500e-01    6.811000e-05
  1.216200e-01    6.893000e-05
  1.219900e-01    6.910000e-05
  1.223500e-01    6.742000e-05
  1.227200e-01    6.870000e-05
  1.230900e-01    6.888000e-05
  1.234500e-01    6.942000e-05
