Thickness_mm,Transmitted_Fraction,Photon_Count,Uncertainty
0.1,4.963980E-01,4.963958E+07,1.5E-04
0.2,4.953942E-01,4.953869E+07,1.5E-04
0.3,4.943386E-01,4.943257E+07,1.5E-04
0.4,4.934171E-01,4.933972E+07,1.5E-04
0.5,4.925474E-01,4.925201E+07,1.5E-04
0.6,4.916375E-01,4.916026E+07,1.5E-04
0.7,4.907831E-01,4.907402E+07,1.5E-04
0.8,4.899716E-01,4.899232E+07,1.5E-04
0.9,4.892334E-01,4.891777E+07,1.5E-04
1.0,4.884802E-01,4.884182E+07,1.5E-04
1.1,4.877279E-01,4.876584E+07,1.5E-04
1.2,4.869731E-01,4.868988E+07,1.5E-04
1.3,4.862297E-01,4.861476E+07,1.5E-04
1.4,4.855717E-01,4.854841E+07,1.5E-04
1.5,4.848591E-01,4.847666E+07,1.5E-04
