Thickness_mm,Transmitted_Fraction,Electron_Count,Uncertainty
0.1,2.137000E-01,2.094000E+03,1.4E-02
0.2,1.345000E-01,1.332000E+03,1.1E-02
0.3,9.050000E-02,8.940000E+02,9.6E-03
0.4,5.610000E-02,5.520000E+02,7.8E-03
0.5,3.580000E-02,3.520000E+02,6.3E-03
0.6,2.130000E-02,2.090000E+02,4.9E-03
0.7,1.150000E-02,1.130000E+02,3.6E-03
0.8,6.900000E-03,6.900000E+01,2.5E-03
0.9,2.800000E-03,2.800000E+01,1.6E-03
1.0,1.600000E-03,1.600000E+01,1.2E-03
1.1,4.000000E-04,4.000000E+00,6.0E-04
1.2,2.000000E-04,2.000000E+00,4.2E-04
1.3,0.000000E+00,0.000000E+00,0.0E+00
1.4,0.000000E+00,0.000000E+00,0.0E+00
1.5,0.000000E+00,0.000000E+00,0.0E+00
1.2,2.009000E-04,1.983000E+03,1.5E-05
1.3,6.110000E-05,6.060000E+02,8.1E-06
1.4,1.680000E-05,1.640000E+02,4.4E-06
1.5,5.700000E-06,5.500000E+01,2.6E-06
