Thickness_mm,Transmitted_Fraction,Electron_Count,Uncertainty
0.1,2.243000E-01,2.202000E+03,1.4E-02
0.2,1.703000E-01,1.663000E+03,1.3E-02
0.3,1.217000E-01,1.205000E+03,1.1E-02
0.4,9.030000E-02,8.820000E+02,9.9E-03
0.5,6.960000E-02,6.830000E+02,8.6E-03
0.6,5.300000E-02,5.220000E+02,7.5E-03
0.7,3.860000E-02,3.820000E+02,6.4E-03
0.8,2.920000E-02,2.850000E+02,5.8E-03
0.9,2.100000E-02,2.070000E+02,4.8E-03
1.0,1.500000E-02,1.460000E+02,4.2E-03
1.1,1.130000E-02,1.110000E+02,3.6E-03
1.2,5.900000E-03,5.900000E+01,2.3E-03
1.3,5.500000E-03,5.300000E+01,2.6E-03
1.4,4.200000E-03,4.000000E+01,2.3E-03
1.5,2.800000E-03,2.700000E+01,1.9E-03
