Thickness_mm,Transmitted_Fraction,Electron_Count,Uncertainty
0.1,2.020500E-01,1.986400E+04,4.3E-03
0.2,1.457500E-01,1.432700E+04,3.8E-03
0.3,1.089300E-01,1.069400E+04,3.4E-03
0.4,7.883000E-02,7.738000E+03,2.9E-03
0.5,5.740000E-02,5.633000E+03,2.5E-03
0.6,4.280000E-02,4.198000E+03,2.2E-03
0.7,3.027000E-02,2.985000E+03,1.8E-03
0.8,2.104000E-02,2.075000E+03,1.5E-03
0.9,1.446000E-02,1.424000E+03,1.3E-03
1.0,9.340000E-03,9.190000E+02,1.0E-03
1.1,6.810000E-03,6.700000E+02,8.7E-04
1.2,3.750000E-03,3.720000E+02,6.3E-04
1.3,2.310000E-03,2.280000E+02,5.0E-04
1.4,1.470000E-03,1.420000E+02,4.2E-04
1.5,7.000000E-04,6.900000E+01,2.8E-04
